"id","dish_name","price","category","sub_category","ingredients"
"1","SPINACH TRIFOLATE","775.00","ANTIPASTI","None","SPINACH,BUTTON MUSHROOMS, PORCINTI, TRUFFLED CREAM"
"2","COZZE UBRIACHI BIANCO","475.00","ANTIPASTI","None","MUSSELS, SHRIMPS, SCALLOPS, IN WHITE WINE BROTH"
"3","PARMIGIANA DI MELANZANE","565.00","ANTIPASTI","None","BAKED EGGPLANT, GRANA PADANO, MOZZARELLA POMODORE SAUCE"
"4","PROSCIUTTO FARCITO","1365.00","ANTIPASTI","None","JAMON SERRANO, SHRIMP, SPINACH, GORGONZOLA, BELL PEPPERS ARRABBIATA"
"5","DITA DI POLLO CAPRESE","495.00","ANTIPASTI","None","JAMON SERRANO, SHRIMP,SPINACH, GORGONZOLA, BELL PEPPERS ARRABBIATA"
"6","MOLLUSCHI","395.00","ANTIPASTI","None","BABY CLAMS IN WHITE WINE SAUCE"
"7","PROSCIUTTO DI PARMA CON MANGO","695.00","ANTIPASTI","None","DRY CURED ITALIAN HAM WITH FRESH MANGO SLICES"
"8","GAMBERI ALLA GRIGLIA","625.00","ANTIPASTI","None","GRILLED SHRIMP, EGGPLANT, ZUCCHINI,TOMATO, LEMON"
"9","SALMONE AFFUCIMATO","835.00","ANTIPASTI","None","SMOKED SALMON FILLET, CAPERS, ITALIAN DRESSING"
"10","CALAMARI FRITTI","695.00","ANTIPASTI","None","DEEP FRIED SQUID WITH HOUSE MADE POMODORE SAUCE"
"11","SICILIAN","765.00","ANTIPASTI","None","SHRIMP, GORGONZOLA CHEESE, SUN DRIED TOMATO, FLAT BREAD, TRUFFLED CREAM"
"12","BRUSCHETTA DI PARMA","755.00","ANTIPASTI","None","DRY CURED ITALIAN HAM, WILD MUSHROOMS, TRUFFLED CREAM"
"13","BRUSCHETTA AL FUNGO","675.00","ANTIPASTI","None","BUTTON MUSHROOMS, PORCINI, TRUFFLED CREAM"
"14","FUNGHI RIPIENI","675.00","ANTIPASTI","None","MUSHROOM STUFFED WITH SPINACH, TRUFFLED CREAM, MANCHEGO CHEESE, PROSCIUTTO BITS"
"15","CAESAR","445.00","INSALATA","None","ROMAINE, PROSCIUTTO BITS, CROUTONS, PARMESAN, HOUSE MADE DRESSING"
"16","MISTA","365.00","INSALATA","None","MIXED LETTUCE, TOMATO, CUCUMBER, BELL PEPPERS, BALSAMIC VINAIGRETTE"
"17","GRECA","495.00","INSALATA","None","MIXED LETTUCE, OLIVES, CUCUMBER, ANCHOVIES, GOAT CHEESE"
"18","CAPRESE","475.00","INSALATA","None","FRESH MOZZARELLA, TOMATO, BASIL, EXTRA VIRGIN OLIVE OIL"
"19","PICCANTE","495.00","INSALATA","None","SPICY GRILLED CHICKEN, OLIVES, BELL PEPPERS, MIXED LETTUCE, GOAT CHEESE"
"20","MARE","845.00","INSALATA","None","MIXED SEAFOOD, BELL PEPPERS, CARROT, CUCUMBER, MIXED LETTUCE"
"21","CIPPOLE","355.00","ZUPPA","None","ONION, CREAM, PARMESAN"
"22","VONGOLE","395.00","ZUPPA","None","BABY CLAMS, BELL PEPPERS, POTATO IN THICK CREAM"
"23","BRODETTO DI MARE","445.00","ZUPPA","None","CLAMS, MUSSELS, SQUID, SHIRMP,TOMATO, ZUCCHINI, CARROTS"
"24","FUNGHI","415.00","ZUPPA","None","BUTTON MUSHROOM, PORCINI IN CLEAR BROTH"
"25","MINESTRONE DI VERDURE","355.00","ZUPPA","None","CARROT, POTATO, CAULIFLOWER, CABBAGE, GREEN BEANS,TOMATO"
"26","RUSTICA","465.00","PANINI","None","PROSCIUTTO DI PARMA, MOZZARELLA, TOMATO ROMAINE"
"27","MORTADELLA","425.00","PANINI","None","MORTADELLA DI PURO SUINO, TOMATO, MOZZARELLA, MIXED LETTUCE"
"28","POLLO","365.00","PANINI","None","CHICKEN, CUCUMBER, TOMATO, MIXED LETTUCE"
